Altium Designer Pick and Place Locations
E:\Engineering\SLURM\Tactile\Film-Tactile_System\Circuits\Film_Palm_Tactile_1\Film_Palm_Tactile_1\Project Outputs for Film_Palm_Tactile_1\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       02/03/25
Time:       21:08
Revision:   d9ec2706898f2e94725fb4ba2502e316091d780d
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"U11","AMS1117_3.3","TopLayer","AMS1117-3.3","3166.900","3482.421","90"
"C58","0.1¦ÌF","TopLayer","C0402","3342.318","3521.767","270"
"C57","10¦ÌF","TopLayer","C0402","3292.318","3521.767","270"
"C17","0.1¦ÌF","TopLayer","C0402","3132.003","3652.082","180"
"C16","10¦ÌF","TopLayer","C0402","3132.003","3602.082","180"
"D1","SMF5.0A","TopLayer","SOD-123FL_L2.7-W1.8-LS3.8-RD","5275.000","2460.000","180"
"U6","STM32H743VGT6","TopLayer","LQFP100-14x14mm","4710.000","3025.000","180"
"U2","XC6206P182MR","TopLayer","SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR","3852.600","3998.360","270"
"U1","STM32H743VGT6","TopLayer","LQFP100-14x14mm","3655.000","3025.000","0"
"C60","1¦ÌF","TopLayer","C0402","3234.988","2888.630","180"
"C59","0.1¦ÌF","TopLayer","C0402","3234.988","2838.630","180"
"C41","1¦ÌF","TopLayer","C0402","5140.315","3120.000","0"
"C40","0.1¦ÌF","TopLayer","C0402","5140.315","3170.000","0"
"C39","1¦ÌF","TopLayer","C0402","5140.315","3270.000","0"
"C38","0.1¦ÌF","TopLayer","C0402","5140.315","3220.000","0"
"C62","4.7¦ÌF","TopLayer","C0402","4484.685","3470.000","0"
"C15","1¦ÌF","TopLayer","C0402","3852.915","3893.360","0"
"C14","1¦ÌF","TopLayer","C0402","3762.600","4018.675","90"
"C8","1¦ÌF","TopLayer","C0402","3234.685","2740.000","180"
"C6","0.1¦ÌF","TopLayer","C0402","3234.685","2790.000","180"
"XT2","8MHz 3PIN","TopLayer","8MHz_0.07%_OSC-SMD_3P-L3.2-W1.3-P1.20-L","5130.000","3017.800","90"
"XT1","8MHz 3PIN","TopLayer","8MHz_0.07%_OSC-SMD_3P-L3.2-W1.3-P1.20-L","3245.000","3017.200","270"
"U10","Type-C 16Pin","TopLayer","USB-C-SMD_TYPE-C16PIN","3388.768","2020.352","0"
"U9","CH343P","TopLayer","CH343P","4862.910","2015.155","270"
"U8-4","SIT3088ETK","TopLayer","DFN-8_L3.0-W3.0-P0.65-BL-EP","3500.000","3750.000","0"
"U8-3","SIT3088ETK","TopLayer","DFN-8_L3.0-W3.0-P0.65-BL-EP","4185.000","3750.000","0"
"U8-2","SIT3088ETK","TopLayer","DFN-8_L3.0-W3.0-P0.65-BL-EP","4875.000","3750.000","0"
"U8-1","SIT3088ETK","TopLayer","DFN-8_L3.0-W3.0-P0.65-BL-EP","5150.000","2715.000","270"
"U7","AMS1117_3.3","TopLayer","AMS1117-3.3","5225.338","3479.582","0"
"U5-2","CD4067BMT/TR","TopLayer","TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL_1","4374.450","2253.390","270"
"U5-1","CD4067BMT/TR","TopLayer","TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL_1","3995.550","2253.390","270"
"U4-4","ICM-42688-P","TopLayer","LGA-14_L3.0-W2.5-P0.50-TL","4876.024","2385.551","0"
"U4-3","ICM-42688-P","TopLayer","LGA-14_L3.0-W2.5-P0.50-TL","3498.071","2385.551","0"
"U4-2","ICM-42688-P","TopLayer","LGA-14_L3.0-W2.5-P0.50-TL","4876.024","3566.653","0"
"U4-1","ICM-42688-P","TopLayer","LGA-14_L3.0-W2.5-P0.50-TL","3498.071","3566.653","0"
"U3","BMM350","TopLayer","WLCSP-9_L1.3-W1.3-R3-C3-P0.40-TL","3849.250","3680.750","0"
"S2","Reset","TopLayer","SW-SMD_L3.9-W3.0-P4.45","4670.000","2575.000","0"
"S1","Reset","TopLayer","SW-SMD_L3.9-W3.0-P4.45","3225.000","2635.000","0"
"R26","5.1K","TopLayer","R0402","3474.704","2175.000","180"
"R25","5.1K","TopLayer","R0402","3322.514","2175.000","0"
"R24","120R","TopLayer","R0402","3500.000","3870.000","0"
"R23","10K","TopLayer","R0402","3425.000","3870.000","180"
"R22","10K","TopLayer","R0402","3575.000","3870.000","180"
"R21","120R","TopLayer","R0402","4185.000","3870.000","0"
"R20","10K","TopLayer","R0402","4110.000","3870.000","180"
"R19","10K","TopLayer","R0402","4260.000","3870.000","180"
"R18","120R","TopLayer","R0402","4875.000","3870.000","0"
"R17","10K","TopLayer","R0402","4800.000","3870.000","180"
"R16","10K","TopLayer","R0402","4950.000","3870.000","180"
"R15","120R","TopLayer","R0402","5270.000","2717.857","270"
"R14","10K","TopLayer","R0402","5270.000","2792.040","90"
"R13","10K","TopLayer","R0402","5270.000","2642.960","90"
"R12","22R","TopLayer","R0402","5250.000","3791.828","0"
"R11","22R","TopLayer","R0402","5250.000","3752.458","0"
"R10","10K","TopLayer","R0402","4500.000","2535.000","180"
"R9","10K","TopLayer","R0402","4845.000","2630.000","180"
"R8","20K","TopLayer","R0402","4250.000","2450.000","0"
"R7","20K","TopLayer","R0402","3870.000","2450.000","0"
"R6","10K","TopLayer","R0402","3829.250","3755.000","270"
"R5","10K","TopLayer","R0402","3869.250","3755.000","270"
"R4","22R","TopLayer","R0402","3120.000","3752.458","180"
"R3","22R","TopLayer","R0402","3120.000","3791.828","180"
"R2","10K","TopLayer","R0402","3095.000","2800.000","180"
"R1","10K","TopLayer","R0402","3560.000","3405.000","180"
"P6","Header 10","TopLayer","FPC-SMD_10P-P0.50_HCTL_HC-FPC-05-10-10RLTAG","2940.315","2636.575","90"
"P5","Header 2","TopLayer","CONN-SMD_2060-452","5275.000","2130.000","90"
"P4-6","Header 4","TopLayer","CONN-SMD_XDWF-0910-04P","2949.208","2345.000","270"
"P4-5","Header 4","TopLayer","HDR1X4","4180.000","2890.000","90"
"P4-4","Header 4","TopLayer","CONN-SMD_XDWF-0910-04P","3500.000","4019.999","180"
"P4-3","Header 4","TopLayer","CONN-SMD_XDWF-0910-04P","4187.047","4019.999","180"
"P4-2","Header 4","TopLayer","CONN-SMD_XDWF-0910-04P","4875.000","4019.999","180"
"P4-1","Header 4","TopLayer","CONN-SMD_XDWF-0910-04P","5420.792","2717.857","90"
"P3","Header 4","TopLayer","CONN-SMD_XDWF-0910-04P","5415.792","3772.143","90"
"P4-7","Header 4","TopLayer","CONN-SMD_XDWF-0910-04P","2949.208","2010.000","270"
"P2-2","Header 30","TopLayer","FPC-SMD_30P-P0.50_HCTL_HC-FPC-05-10-30RLTAG","4186.832","1924.685","180"
"P2-1","Header 24","TopLayer","FPC-SMD_F0502-B-24-10G-R","2939.195","3082.960","270"
"P1","Header 4","TopLayer","CONN-SMD_XDWF-0910-04P","2954.208","3772.143","270"
"LED1","WS2812B-2020","TopLayer","LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020","3270.000","2435.000","90"
"C56","","TopLayer","C0402","4825.315","1910.000","0"
"C55","","TopLayer","C0402","4720.315","2000.000","0"
"C54","","TopLayer","C0402","4720.315","2055.000","0"
"C53","0.1¦ÌF","TopLayer","C0402","3405.000","3775.315","90"
"C52","0.1¦ÌF","TopLayer","C0402","4090.000","3775.315","90"
"C51","0.1¦ÌF","TopLayer","C0402","4780.000","3775.315","90"
"C50","0.1¦ÌF","TopLayer","C0402","5180.315","2810.000","0"
"C49","0.1¦ÌF","TopLayer","C0402","5238.540","3297.946","180"
"C48","10¦ÌF","TopLayer","C0402","5238.540","3350.000","180"
"C47","0.1¦ÌF","TopLayer","C0402","5410.000","3519.012","90"
"C46","10¦ÌF","TopLayer","C0402","5357.946","3519.012","90"
"C61","0.1¦ÌF","TopLayer","C0402","4935.315","2630.000","0"
"C45","0.1¦ÌF","TopLayer","C0402","4310.000","2794.685","270"
"C44","0.1¦ÌF","TopLayer","C0402","4484.685","3420.000","180"
"C43","0.1¦ÌF","TopLayer","C0402","4934.685","3420.000","180"
"C42","0.1¦ÌF","TopLayer","C0402","5115.000","2880.315","90"
"C37","2.2¦ÌF","TopLayer","C0402","4310.000","2899.685","270"
"C36","2.2¦ÌF","TopLayer","C0402","4560.000","3444.685","270"
"C35","0.1¦ÌF","TopLayer","C0402","4499.685","2580.000","180"
"C34","20pF","TopLayer","C0402","5219.685","2970.600","180"
"C33","20pF","TopLayer","C0402","5219.685","3065.000","180"
"C32","2.2¦ÌF","TopLayer","C0402","5025.000","2385.315","90"
"C31","0.1¦ÌF","TopLayer","C0402","4975.000","2385.315","90"
"C30","10nF","TopLayer","C0402","4879.685","2295.000","180"
"C29","2.2¦ÌF","TopLayer","C0402","3650.000","2390.315","90"
"C28","0.1¦ÌF","TopLayer","C0402","3600.000","2390.315","90"
"C27","10nF","TopLayer","C0402","3499.685","2295.000","180"
"C26","2.2¦ÌF","TopLayer","C0402","5025.000","3575.315","90"
"C25","0.1¦ÌF","TopLayer","C0402","4975.000","3575.315","90"
"C24","10nF","TopLayer","C0402","4874.685","3475.000","180"
"C23","2.2¦ÌF","TopLayer","C0402","3650.000","3575.315","90"
"C22","0.1¦ÌF","TopLayer","C0402","3600.000","3575.315","90"
"C21","10nF","TopLayer","C0402","3499.685","3475.000","180"
"C20","2.2¦ÌF","TopLayer","C0402","3848.935","3625.000","180"
"C19","0.1¦ÌF","TopLayer","C0402","3774.250","3659.685","270"
"C18","0.1¦ÌF","TopLayer","C0402","3924.250","3665.315","90"
"C13","0.1¦ÌF","TopLayer","C0402","3374.685","3415.000","180"
"C12","0.1¦ÌF","TopLayer","C0402","4052.000","3271.315","90"
