Altium Designer Pick and Place Locations
C:\Users\ASTRAYRMORS\Desktop\AD_Project\Tactile_system\Tactile_system\Film_Tactile_1\Project Outputs for Film_Tactile_1\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       23/02/25
Time:       01:08
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"U1","STM32H743VIH6","TopLayer","TFBGA100","3478.740","2547.756","0"
"U7","LM358LVIDDFR","TopLayer","SOT-23-8_L2.9-W1.6-P0.65-LS2.8-BR","3985.000","2700.000","180"
"U6","RS2251XTQC16","TopLayer","QFN-16_L3.0-W3.0-P0.50-BL-EP1.7","3965.410","2884.530","0"
"R19","100R","TopLayer","R0402","4120.000","2695.000","270"
"R18","10K","TopLayer","R0402","4085.000","2695.000","90"
"R17","10K","TopLayer","R0402","3985.000","2775.000","0"
"R16","1K","TopLayer","R0402","3890.000","2730.000","90"
"R15","0R","TopLayer","R0402","3875.000","2840.000","270"
"R14","0R","TopLayer","R0402","3840.000","2840.000","90"
"R13","0R","TopLayer","R0402","3770.000","2770.000","270"
"R12","0R","TopLayer","R0402","3805.000","2770.000","90"
"R11","0R","TopLayer","R0402","4100.000","2990.000","270"
"R10","0R","TopLayer","R0402","4135.000","2990.000","90"
"R9","10K","TopLayer","R0402","3365.315","2880.000","0"
"R8","10K","TopLayer","R0402","3365.315","2915.000","0"
"C28","1¦ÌF","TopLayer","C0402","4090.315","2625.000","0"
"C27","0.1¦ÌF","TopLayer","C0402","4110.315","2750.000","0"
"C26","0.1¦ÌF","TopLayer","C0402","3890.000","2650.315","90"
"C25","30pF","TopLayer","C0402","3850.000","2731.460","90"
"C24","0.1¦ÌF","TopLayer","C0402","3460.000","2774.685","270"
"C16","1¦ÌF","TopLayer","C0402","3625.000","2945.315","90"
"LED1","WS2812B-2020","TopLayer","LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020","3800.000","2610.000","270"
"U5","SIT3088ETK","TopLayer","DFN-8_L3.0-W3.0-P0.65-BL-EP","3284.390","3128.380","270"
"U2","AP7345D-1833RH4-7","TopLayer","XDFN-8_L1.6-W1.2-P0.40-BL-EP","3680.000","2980.000","270"
"R7","120R","TopLayer","R0402","3425.000","3072.040","90"
"R4","10K","TopLayer","R0402","3385.000","3072.040","270"
"R3","10K","TopLayer","R0402","3405.000","3125.000","180"
"C23","0.1¦ÌF","TopLayer","C0402","3404.685","3192.000","180"
"C15","1¦ÌF","TopLayer","C0402","3555.000","2960.315","90"
"C14","1¦ÌF","TopLayer","C0402","3698.315","2920.000","0"
"C13","1¦ÌF","TopLayer","C0402","3740.000","2989.685","270"
"C12","0.1¦ÌF","TopLayer","C0402","3415.000","2774.685","270"
"C11","0.1¦ÌF","TopLayer","C0402","3370.000","2774.685","270"
"C10","0.1¦ÌF","TopLayer","C0402","3250.315","2400.000","0"
"C9","0.1¦ÌF","TopLayer","C0402","3250.315","2445.000","0"
"C7","4.7¦ÌF","TopLayer","C0402","3706.460","2470.000","180"
"C6","1¦ÌF","TopLayer","C0402","3250.315","2490.000","0"
"R1","10K","TopLayer","R0402","3695.000","2600.000","180"
"XT1","8MHz 3PIN","TopLayer","8MHz_0.07%_OSC-SMD_3P-L3.2-W1.3-P1.20-L","3265.000","2585.000","270"
"U4","BMM350","TopLayer","WLCSP-9_L1.3-W1.3-R3-C3-P0.40-TL","3460.000","2965.000","180"
"U3","ICM-42688-P","TopLayer","LGA-14_L3.0-W2.5-P0.50-TL","3670.984","2796.929","180"
"S1","SW-PB","TopLayer","SW-SMD_L3.9-W3.0-P4.45","3255.000","2945.000","90"
"R6","22R","TopLayer","R0402","4100.000","2892.040","90"
"R5","22R","TopLayer","R0402","4135.000","2892.040","90"
"R2","10K","TopLayer","R0402","3295.000","2760.000","0"
"P3","Header 4","TopLayer","CONN-SMD_XDWF-0910-04P","3968.000","3099.999","180"
"P1","Header 4","TopLayer","CONN-SMD_XDWF-0910-04P","3965.000","2495.001","0"
"J1","AFH05-S12FIA-1H","TopLayer","FPC-SMD_12P-P0.50_GT-F0501SR10-12S1101","3677.952","3134.996","180"
"C22","2.2¦ÌF","TopLayer","C0402","3440.315","3016.187","0"
"C21","0.1¦ÌF","TopLayer","C0402","3515.000","2960.315","90"
"C20","0.1¦ÌF","TopLayer","C0402","3365.315","2960.000","0"
"C19","2.2¦ÌF","TopLayer","C0402","3549.685","2885.000","180"
"C18","0.1¦ÌF","TopLayer","C0402","3549.685","2840.000","180"
"C17","10nF","TopLayer","C0402","3698.315","2875.000","0"
"C8","0.1¦ÌF","TopLayer","C0402","3706.460","2425.000","180"
"C5","2.2¦ÌF","TopLayer","C0402","3706.460","2560.000","180"
"C4","2.2¦ÌF","TopLayer","C0402","3706.460","2515.000","180"
"C3","0.1¦ÌF","TopLayer","C0402","3237.910","2810.000","180"
"C2","20pF","TopLayer","C0402","3240.315","2680.000","0"
"C1","20pF","TopLayer","C0402","3210.000","2559.685","270"
